Swift Refactoring Catalog Feedback
Id,How many years of experience do you have using the Swift language?,What is the typical size of the codebase for the apps you work on?,Is your company local or international?,Did you face this problem before?,Did you apply the proposed solution to handle this problem before?,Could please share with us the name/explanation of your solution ?,How did you come up with this solution? (source),Do you recommend this refactoring as a solution for this problem?,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?,Do you think the problem is defined clearly?,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?,Did you face this problem before?1,Did you apply the proposed solution to handle this problem before?1,Could please share with us the name/explanation of your solution ?1,How did you come up with this solution? (source)1,Do you recommend this refactoring as a solution for this problem?1,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?1,Do you think the problem is defined clearly?1,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?1,Did you face this problem before?2,Did you apply the proposed solution to handle this problem before?2,Could please share with us the name/explanation of your solution ?2,How did you come up with this solution? (source)2,Do you recommend this refactoring as a solution for this problem?2,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?2,Do you think the problem is defined clearly?2,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?2,Did you face this problem before?3,Did you apply the proposed solution to handle this problem before?3,Could please share with us the name/explanation of your solution ?3,How did you come up with this solution? (source)3,Do you recommend this refactoring as a solution for this problem?3,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?3,Do you think the problem is defined clearly?3,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?3,Did you face this problem before?4,Did you apply the proposed solution to handle this problem before?4,Could please share with us the name/explanation of your solution ?4,How did you come up with this solution? (source)4,Do you recommend this refactoring as a solution for this problem?4,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?4,Do you think the problem is defined clearly?4,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?4,Did you face this problem before?5,Did you apply the proposed solution to handle this problem before?5,Could please share with us the name/explanation of your solution ?5,How did you come up with this solution? (source)5,Do you recommend this refactoring as a solution for this problem?5,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?5,Do you think the problem is defined clearly?5,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?5,Did you face this problem before?6,Did you apply the proposed solution to handle this problem before?6,Could please share with us the name/explanation of your solution ?6,How did you come up with this solution? (source)6,Do you recommend this refactoring as a solution for this problem?6,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?6,Do you think the problem is defined clearly?6,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?6,Did you face this problem before?7,Did you apply the proposed solution to handle this problem before?7,Could please share with us the name/explanation of your solution ?7,How did you come up with this solution? (source)7,Do you recommend this refactoring as a solution for this problem?7,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?7,Do you think the problem is defined clearly?7,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?7,Did you face this problem before?8,Did you apply the proposed solution to handle this problem before?8,Could please share with us the name/explanation of your solution ?8,How did you come up with this solution? (source)8,Do you recommend this refactoring as a solution for this problem?8,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?8,Do you think the problem is defined clearly?8,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?8,Did you face this problem before?9,Did you apply the proposed solution to handle this problem before?9,Could please share with us the name/explanation of your solution ?9,How did you come up with this solution? (source)9,Do you recommend this refactoring as a solution for this problem?9,Did the refactoring solution contribute to reduce complexity and making the code cleaner and more readable?9,Do you think the problem is defined clearly?9,Do you think the code example provided clearly explains the problem and the proposed solution (refactoring)?9,Do you think the existence of a refactoring catalog for the Swift language would provide systematic refactoring steps for you?,Do you think the existence of a refactoring catalog for the Swift language would improve code quality?
8,4-6 years,"Very Large (More than 500,000 lines of code)",International,Yes,Yes,,Blogger,10,10,10,10,Yes,Yes,,Your own experience,10,10,10,9,Yes,Yes,,Another Developer,10,9,10,10,Yes,Yes,,Blogger,10,10,10,10,Yes,Yes,,Blogger,10,10,10,10,Yes,Yes,,Blogger,10,10,10,9,Yes,Yes,,Your own experience,10,10,10,8,Yes,Yes,,Blogger,7,4,10,9,Yes,Yes,,Another Developer,10,10,10,10,Yes,Yes,,Another Developer,10,8,10,10,Yes,Yes
9,4-6 years,"Large (100,000 - 500,000 lines of code)",Local,Yes,Yes,,Blogger,7,7,8,8,Yes,Yes,,Blogger,8,8,9,9,Yes,Yes,,Another Developer,9,6,9,9,No,,,,,,8,9,No,,,,,,8,8,Yes,No,I usually use Notifiable,Your own experience,8,9,9,9,Yes,Yes,,Another Developer,10,5,9,10,No,,,,,,9,10,Yes,Yes,,Another Developer,10,9,8,10,Yes,Yes,,Blogger,6,6,9,10,Yes,Yes
10,8-10 years,"Very Large (More than 500,000 lines of code)",International,No,,,,,,10,10,Yes,Yes,,Blogger,8,8,10,10,No,,,,,,10,9,Yes,Yes,,Another Developer,10,10,6,7,Yes,Yes,,Another Developer,10,10,7,10,No,,,,,,5,6,Yes,Yes,,Blogger,10,10,10,10,Yes,Yes,,Another Developer,10,10,10,10,No,,,,,,10,10,Yes,Yes,,Your own experience,10,10,10,10,Yes,Yes
11,8-10 years,"Very Large (More than 500,000 lines of code)",International,Yes,Yes,,Blogger,10,10,10,7,Yes,Yes,,Blogger,10,10,10,9,Yes,Yes,,Another Developer,10,10,10,7,Yes,Yes,,Another Developer,10,10,10,6,Yes,Yes,,Your own experience,10,10,10,10,Yes,Yes,,Your own experience,10,10,10,9,Yes,Yes,,Blogger,10,10,10,10,No,,,,,,10,10,Yes,Yes,,Your own experience,10,10,10,7,Yes,No,I will omit the parameter name from the function name and make it required as a parameter name.,Your own experience,5,6,10,10,Yes,Yes
12,4-6 years,"Very Large (More than 500,000 lines of code)",Local,Yes,Yes,,Your own experience,8,10,10,10,Yes,Yes,,Blogger,9,10,9,9,Yes,Yes,,Blogger,9,8,9,9,Yes,Yes,,Blogger,9,9,7,9,Yes,Yes,,Your own experience,9,9,10,10,Yes,Yes,,Blogger,9,9,10,10,Yes,Yes,,Your own experience,10,9,9,10,Yes,Yes,,Blogger,10,10,9,10,Yes,Yes,,Blogger,9,9,9,10,Yes,No,I prefere using R9,Blogger,5,5,9,9,Yes,Yes
13,4-6 years,"Very Large (More than 500,000 lines of code)",International,Yes,Yes,,Another Developer,8,7,5,5,Yes,Yes,,Another Developer,9,8,7,8,Yes,No,I do fork from the third party package repo and add my features.,Another Developer,3,3,8,8,Yes,Yes,,Blogger,8,8,7,8,Yes,Yes,,Your own experience,7,6,8,8,Yes,Yes,,Your own experience,8,8,8,8,Yes,Yes,,Your own experience,9,9,9,9,Yes,Yes,,Your own experience,6,6,8,8,Yes,Yes,,Your own experience,9,9,9,9,Yes,Yes,,Your own experience,8,8,8,8,Yes,Yes
14,4-6 years,"Large (100,000 - 500,000 lines of code)",International,Yes,Yes,,Blogger,8,9,10,10,Yes,Yes,,Blogger,10,9,10,10,Yes,Yes,,Blogger,10,10,10,10,Yes,Yes,,Another Developer,10,9,10,10,Yes,Yes,,Blogger,10,10,10,10,No,,,,,,9,10,Yes,Yes,,Another Developer,10,10,10,10,Yes,Yes,,Another Developer,10,10,10,10,Yes,Yes,,Another Developer,9,10,10,10,Yes,Yes,,Blogger,10,10,10,10,Yes,Yes
15,2-4 years,"Medium-Large (50,000 - 100,000 lines of code)",International,Yes,Yes,,Blogger,8,10,10,10,Yes,Yes,,Your own experience,10,8,10,10,No,,,,,,10,10,Yes,Yes,,Blogger,8,10,10,10,Yes,Yes,,Another Developer,10,10,10,10,Yes,No,"I give the protocol name the class name + ""Protocol"" or ""Delegate""",Another Developer,8,8,10,10,Yes,Yes,,Your own experience,10,10,10,10,Yes,Yes,,Another Developer,8,8,10,10,Yes,Yes,,Blogger,10,10,10,10,Yes,Yes,,Your own experience,10,8,10,10,Maybe,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
