refactoring type,commit link,commit hash
Refactoring to name a function parameter,https://github.com/Alamofire/Alamofire/commit/7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2#diff-e5f2f9b94d41a0b79feaa7fdf25dd20c00da2c31ce029473631ed6d70757e576R375,7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2
Refactoring to name a function parameter,https://github.com/Alamofire/Alamofire/commit/563595b5197188a6770e2482ac3e6d665c5a1578#diff-9a269128d399f3565e891a50a0c2a29c4714d03a3c265ee6d0226b7436317f47R757,563595b5197188a6770e2482ac3e6d665c5a1578
Refactoring to delay functionality execution via defer statement,https://github.com/Alamofire/Alamofire/commit/7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2#diff-e5f2f9b94d41a0b79feaa7fdf25dd20c00da2c31ce029473631ed6d70757e576R391,7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2
Refactoring to delay functionality execution via defer statement,https://github.com/Alamofire/Alamofire/commit/7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2#diff-e5f2f9b94d41a0b79feaa7fdf25dd20c00da2c31ce029473631ed6d70757e576R481,7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2
Refactoring to delay functionality execution via defer statement,https://github.com/Alamofire/Alamofire/commit/563595b5197188a6770e2482ac3e6d665c5a1578#diff-da009a6a85824cdb98be31a8ee58d8342461d95e00214aaca6cec70cd3236b59R275,563595b5197188a6770e2482ac3e6d665c5a1578
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/Alamofire/Alamofire/commit/7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2#diff-e5f2f9b94d41a0b79feaa7fdf25dd20c00da2c31ce029473631ed6d70757e576R524,7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/Alamofire/Alamofire/commit/7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2#diff-e5f2f9b94d41a0b79feaa7fdf25dd20c00da2c31ce029473631ed6d70757e576R444,7b419b76a48b7c6e6b676ccc5d66e64cb00c93c2
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/Alamofire/Alamofire/commit/d58446edf8d1b204de40e900f11214dc0525d567#diff-1c2b26f3929a3f7f0b78511dac7f0729227cfc341967bad018e7b2ab1f424547R109,d58446edf8d1b204de40e900f11214dc0525d567
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/Alamofire/Alamofire/commit/d58446edf8d1b204de40e900f11214dc0525d567#diff-1c2b26f3929a3f7f0b78511dac7f0729227cfc341967bad018e7b2ab1f424547R187,d58446edf8d1b204de40e900f11214dc0525d567
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/Alamofire/Alamofire/commit/d58446edf8d1b204de40e900f11214dc0525d567#diff-90a87b16e0812e401d877e3e0bcb74508e177087efd196fe2efed04263a3902fR408,d58446edf8d1b204de40e900f11214dc0525d567
