refactoring type,commit link,commit hash
Refactoring to enum cases with parameters,https://github.com/steamclock/bluejay/commit/e420aa4a3834c9efa38c36b162ee12f009966e7d#diff-d33c6ac76b32b766ea4600dbc0cfd91aebd69fca04b2cab6911930bf54b9f4ffR18,e420aa4a3834c9efa38c36b162ee12f009966e7d
Refactoring to enum cases with parameters,https://github.com/steamclock/bluejay/commit/860a7e3b2a13510741feea6e6456d8f052a83b3f#diff-82c6e08be98b2d0c8caf9b7f2a3793cfb6d4c0d3e71fd78940d1cf2ee76e1b94R11,860a7e3b2a13510741feea6e6456d8f052a83b3f
Refactoring to enum cases with parameters,https://github.com/steamclock/bluejay/commit/3c9156a1073eab2520a7604392917b0384449e4a#diff-ab3f52e2e70e6d456d5b2de410ff88cb3152c66590cf84cd57e47666215aee9bR18, 3c9156a1073eab2520a7604392917b0384449e4a
Refactoring to enum extension,https://github.com/steamclock/bluejay/commit/860a7e3b2a13510741feea6e6456d8f052a83b3f#diff-82c6e08be98b2d0c8caf9b7f2a3793cfb6d4c0d3e71fd78940d1cf2ee76e1b94R78,860a7e3b2a13510741feea6e6456d8f052a83b3f
Rename protocol refactoring,https://github.com/steamclock/bluejay/commit/1ae2ff0938a9a78704bc76b16ece98ddf832a6c3#diff-b62ef54775ea20e781ddd25edc898ae87680d18280f67727de506832839f7930R23,1ae2ff0938a9a78704bc76b16ece98ddf832a6c3
Rename protocol refactoring,https://github.com/steamclock/bluejay/commit/7f8d1980ca7ea8f21f0e305c42da854581fb79a2#diff-9d13b20059c107cc3c5448a992cc78491708ef2fec4a3fc23484ecb078df9adbR23,7f8d1980ca7ea8f21f0e305c42da854581fb79a2
Refactoring to a class/struct extension,https://github.com/steamclock/bluejay/commit/dd92e4bfee2a17a3572bc97ceaad48c13b89b2b8#diff-9fd51f4703414017bc9963410bf9d53b491a063f236ec1861da41adc413e7b8bR11,dd92e4bfee2a17a3572bc97ceaad48c13b89b2b8
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/steamclock/bluejay/commit/3c9156a1073eab2520a7604392917b0384449e4a#diff-681547f14185d18b054a24bc9549750ba7f6f8ea619bff517f2e18bbde81368dR140,3c9156a1073eab2520a7604392917b0384449e4a
Refactoring to protocol,https://github.com/steamclock/bluejay/commit/3c9156a1073eab2520a7604392917b0384449e4a#diff-e7c5067f3a265c23b7f1cbd044f88e59c46d57f510b6e0a5ccf685389d829d60R16,3c9156a1073eab2520a7604392917b0384449e4a
Refactoring to protocol,https://github.com/steamclock/bluejay/commit/d4a75d84f5e7cb805bac0bb10cc1cb588a0c8212#diff-4d4c1b390966c28aebd1a3f31c130e9d678f8b2519efa7a2e83c7fc550e3f704R11,d4a75d84f5e7cb805bac0bb10cc1cb588a0c8212
Refactoring to a protocol extension,https://github.com/steamclock/bluejay/commit/937a1fd1e4767e46b0e53105b1e3a4fc53349c34#diff-4d4c1b390966c28aebd1a3f31c130e9d678f8b2519efa7a2e83c7fc550e3f704R39,937a1fd1e4767e46b0e53105b1e3a4fc53349c34
Refactoring to make parameter name optional in calling,https://github.com/steamclock/bluejay/commit/295996480abcfab0ca1175737bd1c9819723d826#diff-332c3ff5fb91a46e4f5795bee19cab19d8c7b30bf0937a54d8b3188714a8f9b1R21,295996480abcfab0ca1175737bd1c9819723d826
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/steamclock/bluejay/commit/3c9156a1073eab2520a7604392917b0384449e4a#diff-ad107a0e5d7acb95eb41e685761421f06c5a1c79ba71f4dbef33822a01c27f24R1172,3c9156a1073eab2520a7604392917b0384449e4a
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/steamclock/bluejay/commit/779531fee2b78f23aaffd44d6b074a27da98bc34#diff-ad107a0e5d7acb95eb41e685761421f06c5a1c79ba71f4dbef33822a01c27f24R178,779531fee2b78f23aaffd44d6b074a27da98bc34
Refactoring to delay functionality execution via defer statement,https://github.com/steamclock/bluejay/commit/779531fee2b78f23aaffd44d6b074a27da98bc34#diff-ad107a0e5d7acb95eb41e685761421f06c5a1c79ba71f4dbef33822a01c27f24R204,779531fee2b78f23aaffd44d6b074a27da98bc34
Refactoring to name a function parameter,https://github.com/steamclock/bluejay/commit/35ada9222499fbfbde50ce4f33430d885a96f748#diff-53ddc25b71f65223734b3de7e648af078d9a1951e81ce1179506718a364dbdf5R15,35ada9222499fbfbde50ce4f33430d885a96f748
