refactoring type,commit link,commit hash
Rename protocol refactoring,https://github.com/ChartsOrg/Charts/commit/75b16fc9949c4d9fc2f6f172e58a314b63e4d65b#diff-db623a5167c5325bb1f4a50d9309a462dcf2dccccfc123528e510e4b87a044b4R22,75b16fc9949c4d9fc2f6f172e58a314b63e4d65b
Rename protocol refactoring,https://github.com/ChartsOrg/Charts/commit/75b16fc9949c4d9fc2f6f172e58a314b63e4d65b#diff-bd9a83862fbce9111f1a46e0dd31b965c6b686e6940929f8cb376015eb596571R16,75b16fc9949c4d9fc2f6f172e58a314b63e4d65b
Rename protocol refactoring,https://github.com/ChartsOrg/Charts/commit/75b16fc9949c4d9fc2f6f172e58a314b63e4d65b#diff-ab4ae961bc40ca8f48d8f3b7762b67d43123400062ebb4dc39b7113f391ffc8fR19,75b16fc9949c4d9fc2f6f172e58a314b63e4d65b
Rename protocol refactoring,https://github.com/ChartsOrg/Charts/commit/d2bf08fdd6841d549a6579635ec797185c087635#diff-6f4b460c1099e9fa1f66c2d70af1272d9b06effc584db81974dc8f94354ec153R15,d2bf08fdd6841d549a6579635ec797185c087635
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/ChartsOrg/Charts/commit/47b9793c4206bf747c16dc8e6a1042ee9932ea37#diff-225901d381fa9e582cc08396b26244226b5325d2da49a2a5c4e47514b6d51c2eR70,47b9793c4206bf747c16dc8e6a1042ee9932ea37
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/ChartsOrg/Charts/commit/d2bf08fdd6841d549a6579635ec797185c087635#diff-c504d5ee9aa0a273d16e9819a2ddc6bccf16ed39b2fed63b4e0da5f252b467e7R114,d2bf08fdd6841d549a6579635ec797185c087635
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/ChartsOrg/Charts/commit/3dbd57b5a3f78e242409d60fe0b157d995b61e81#diff-0ed5d88ea3af68dd5dc4e3ee4e0382f41a4382fcd2c9c643c4891aa3da4cb81bR111,3dbd57b5a3f78e242409d60fe0b157d995b61e81
Refactoring to a class/struct extension,https://github.com/ChartsOrg/Charts/commit/f05ed02f2b9955c04765b45d9ab8fbd2f06db51b#diff-5f32c5b054b3c7dc49e071f9e7990b30b460ff62932a90c6d83b88e9cfe31977R13,f05ed02f2b9955c04765b45d9ab8fbd2f06db51b
Refactoring to name a function parameter,https://github.com/ChartsOrg/Charts/commit/3dbd57b5a3f78e242409d60fe0b157d995b61e81#diff-cab7d6460b7fbf69c03e255ca87705410735553165ca01430688c359c200e002R462,3dbd57b5a3f78e242409d60fe0b157d995b61e81
Refactoring to name a function parameter,https://github.com/ChartsOrg/Charts/commit/3dbd57b5a3f78e242409d60fe0b157d995b61e81#diff-7168622395db89434ec5d4cd5d89bab0c7ad4bf4fd1fd4df4a3062a28514021eR217,3dbd57b5a3f78e242409d60fe0b157d995b61e81
Refactoring to make parameter name optional in calling,https://github.com/ChartsOrg/Charts/commit/c116f974faf0ee87f75f974b3a82e143cfe716c3#diff-364dd0952c0f24e1238be260706a34f4a724d27dc9a26ede64bc5cacabc38296R87,c116f974faf0ee87f75f974b3a82e143cfe716c3
Refactoring to make parameter name optional in calling,https://github.com/ChartsOrg/Charts/commit/c116f974faf0ee87f75f974b3a82e143cfe716c3#diff-1c0d9244c7a840e8162fb1f800fc623e1d9aa464cde18b92fa2993bf4a1e066aR78,c116f974faf0ee87f75f974b3a82e143cfe716c3
Refactoring to make parameter name optional in calling,https://github.com/ChartsOrg/Charts/commit/c116f974faf0ee87f75f974b3a82e143cfe716c3#diff-1c0d9244c7a840e8162fb1f800fc623e1d9aa464cde18b92fa2993bf4a1e066aR89,c116f974faf0ee87f75f974b3a82e143cfe716c3
Refactoring to make parameter name optional in calling,https://github.com/ChartsOrg/Charts/commit/c116f974faf0ee87f75f974b3a82e143cfe716c3#diff-1c0d9244c7a840e8162fb1f800fc623e1d9aa464cde18b92fa2993bf4a1e066aR148,c116f974faf0ee87f75f974b3a82e143cfe716c3
Refactoring to a protocol extension,https://github.com/ChartsOrg/Charts/commit/0aa2b76e8695dab2628a90ab60376ef023045bd4#diff-926ed266a2a9802bf18e292d05d2b683a1aa8ffd9ed99003e4c5600a1943979eR8,0aa2b76e8695dab2628a90ab60376ef023045bd4
Refactoring to protocol,https://github.com/ChartsOrg/Charts/commit/d2bf08fdd6841d549a6579635ec797185c087635#diff-b7a3714d659ba584004028e777c0e6aa0f0e214eeea5d9bfa31cc3408c670e18R16,d2bf08fdd6841d549a6579635ec797185c087635
Refactoring to a class/struct extension,https://github.com/ChartsOrg/Charts/commit/2a1ecb4e6f175f91e91d77d039be342138fe0e3c#diff-180cb0353879d0f7daf299de9ebf1cddb0ec7072886609f9482288561470b842R91,2a1ecb4e6f175f91e91d77d039be342138fe0e3c
