refactoring type,commit link,commit hash
Refactoring to a class/struct extension,http://github.com/onevcat/Kingfisher/commit/92a523d56ce6e95e5c686e89ca0dc294e163eb18,92a523d56ce6e95e5c686e89ca0dc294e163eb18
Refactoring to a protocol extension,https://github.com/onevcat/Kingfisher/commit/25c163cb2de3b3c8fe498d5e6bc66b4d18b64c18,25c163cb2de3b3c8fe498d5e6bc66b4d18b64c18
Refactoring to delay functionality execution via defer statement,https://github.com/onevcat/Kingfisher/commit/10c7fab50987bfa3550cbc22af197e15f4b4dead,10c7fab50987bfa3550cbc22af197e15f4b4dead
Refactoring to enum cases with parameters,https://github.com/onevcat/Kingfisher/commit/3ac7b60a277b72540cf7f5e30b0969a76a13bdf0,3ac7b60a277b72540cf7f5e30b0969a76a13bdf0
Refactoring to enum cases with parameters,https://github.com/onevcat/Kingfisher/commit/89028609b4990318b45aff06408a5b97650adc4d#diff-55446b9bf27c1c77e89a866dd8ef7e34a7bf21be03f09e1d8de27aae216eb8beR50,89028609b4990318b45aff06408a5b97650adc4d
Refactoring to enum cases with parameters,https://github.com/onevcat/Kingfisher/commit/89028609b4990318b45aff06408a5b97650adc4d#diff-cdc1ef5a60d46942d40f32956cf4f1775f9e571a08a5f084f41a2d852c12e865R244,89028609b4990318b45aff06408a5b97650adc4d
Refactoring to enum extension,https://github.com/onevcat/Kingfisher/commit/93f62c4658fa6fcdfa5e7a60583ef2a3fee0f6a7#diff-90d31696f023aa16caa01c22085ba12aedbf3cdbcd0d9d72e35ab627b3543fbdR116,93f62c4658fa6fcdfa5e7a60583ef2a3fee0f6a7
Refactoring to enum extension,https://github.com/onevcat/Kingfisher/commit/93f62c4658fa6fcdfa5e7a60583ef2a3fee0f6a7,93f62c4658fa6fcdfa5e7a60583ef2a3fee0f6a7
Refactoring to make parameter name optional in calling,https://github.com/onevcat/Kingfisher/commit/77e7bf31455ba5d4b1b34e53a449e82e707a5ce1#diff-90d31696f023aa16caa01c22085ba12aedbf3cdbcd0d9d72e35ab627b3543fbdR82,77e7bf31455ba5d4b1b34e53a449e82e707a5ce1
Refactoring to name a function parameter,https://github.com/onevcat/Kingfisher/commit/d826ae4db8c8e7f2bbd33be3106d56a674c774b5#diff-c78dd93f79688753dcab8ce0ebde516af1bb5f7780f15b251daf6bf5b464b852R88,d826ae4db8c8e7f2bbd33be3106d56a674c774b5
Refactoring to name a function parameter,https://github.com/onevcat/Kingfisher/commit/93f62c4658fa6fcdfa5e7a60583ef2a3fee0f6a7#diff-90d31696f023aa16caa01c22085ba12aedbf3cdbcd0d9d72e35ab627b3543fbdR252,93f62c4658fa6fcdfa5e7a60583ef2a3fee0f6a8
Refactoring to protocol,https://github.com/onevcat/Kingfisher/commit/5db037ead50d29c9e51e9d16d9e615a3e4bd5b32,5db037ead50d29c9e51e9d16d9e615a3e4bd5b32
Refactoring to protocol,https://github.com/onevcat/Kingfisher/commit/25c163cb2de3b3c8fe498d5e6bc66b4d18b64c18,25c163cb2de3b3c8fe498d5e6bc66b4d18b64c18
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/onevcat/Kingfisher/commit/89028609b4990318b45aff06408a5b97650adc4d#diff-385bb415190ee94811b0a7294c6e44116b83d355444f197ce3c8894301c2a01aL206-R656,89028609b4990318b45aff06408a5b97650adc4d
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/onevcat/Kingfisher/commit/0c9fce97d5db5622f780f12b0f6a53a091282da2#diff-f3944142556dba557e73400a94af7956165704dc295d0c126097e728df64f1f9R66,0c9fce97d5db5622f780f12b0f6a53a091282da2
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/onevcat/Kingfisher/commit/a82ab3aa2210a0391f8aee879143eaab46cae783#diff-907250578ecd8a7a1674f252acae0d2955ed49d6507cce50c9e1555e5ebd1887R232,a82ab3aa2210a0391f8aee879143eaab46cae783
