refactoring type,commit link,commit hash
Refactoring to enum cases with parameters,https://github.com/airbnb/lottie-ios/commit/28520262d043826160e05590ac00c5fc797ac854#diff-655b40c7e45ae3683832034fd87117434b2e197e6ba6b886c16b7786de98bcccR59,28520262d043826160e05590ac00c5fc797ac854
Refactoring to make parameter name optional in calling,https://github.com/airbnb/lottie-ios/commit/ed31eae77802139d3bde067f3c38c253d483913f#diff-fb579c6e8b6c70a34303e4624988d290fe411c8ba055ff1c38d25cc7d1cce2a1R16,ed31eae77802139d3bde067f3c38c253d483913f
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/airbnb/lottie-ios/commit/ed31eae77802139d3bde067f3c38c253d483913f#diff-ce1f43664c8e8b4145392a4413fc94aaccc287bec77f2b6ccd9bfa6ffdaf0c91R15,ed31eae77802139d3bde067f3c38c253d483913f
Refactoring to name a function parameter,https://github.com/airbnb/lottie-ios/commit/ed31eae77802139d3bde067f3c38c253d483913f#diff-c63a7ac51a7f84e89040a1f0e17375e14f26cc41720b2e3444385d8c7416dce0R201,ed31eae77802139d3bde067f3c38c253d483913f
Refactoring to a class/struct extension,https://github.com/airbnb/lottie-ios/commit/ed31eae77802139d3bde067f3c38c253d483913f#diff-c63a7ac51a7f84e89040a1f0e17375e14f26cc41720b2e3444385d8c7416dce0R216,ed31eae77802139d3bde067f3c38c253d483913f
Refactoring to enum extension,https://github.com/airbnb/lottie-ios/commit/edd908e43a7a76552c2992a4d0ce60129ff853e9#diff-1819201d94a7de61b18462f3f51659a62a258188921f9b31305bf8a6b750eb08R90,edd908e43a7a76552c2992a4d0ce60129ff853e9
Refactoring to a class/struct extension,https://github.com/airbnb/lottie-ios/commit/edd908e43a7a76552c2992a4d0ce60129ff853e9#diff-87ea49c5aa88ed54db02c5bf553e846a78212a95edd12f7c2626a7de9cabcec0R86,edd908e43a7a76552c2992a4d0ce60129ff853e9
Refactoring to a protocol extension,https://github.com/airbnb/lottie-ios/commit/edd908e43a7a76552c2992a4d0ce60129ff853e9#diff-9da61977979f05cae8131cd9b51502e9b44b71c52d59984b931d2b9a44a8a454R68,edd908e43a7a76552c2992a4d0ce60129ff853e9
Refactoring to protocol,https://github.com/airbnb/lottie-ios/commit/edd908e43a7a76552c2992a4d0ce60129ff853e9#diff-9da61977979f05cae8131cd9b51502e9b44b71c52d59984b931d2b9a44a8a454R9,edd908e43a7a76552c2992a4d0ce60129ff853e9
Refactoring to protocol,https://github.com/airbnb/lottie-ios/commit/dc9316c1094f5095ee84bc71112e47e6e44fc19b#diff-06c4d693bc6ed67e674632f69cbe0ae4c8b9f36e7a30d7d3e1d4521812ddbcecL11,dc9316c1094f5095ee84bc71112e47e6e44fc19b
Refactoring to protocol,https://github.com/airbnb/lottie-ios/commit/a607fc1c8f4a32cb1fa6fdc6bc760b3d1cc3355d#diff-ac9e06a1a245296d142bbacda222799934ad87bdc6d32b8d6bbf2871cdce0eadR15,a607fc1c8f4a32cb1fa6fdc6bc760b3d1cc3355d
