refactoring type,commit link,commit hash
Refactoring to make parameter name optional in calling,https://github.com/kean/Nuke/commit/64f29ca93f76aaccf9797eef4cb616057577b6e4#diff-b59fa29003b87fa5830973fc59bdd9113cb5436f974acd9919a653e552e531feR193,64f29ca93f76aaccf9797eef4cb616057577b6e4
Refactoring to delay functionality execution via defer statement,https://github.com/kean/Nuke/commit/64f29ca93f76aaccf9797eef4cb616057577b6e4#diff-b59fa29003b87fa5830973fc59bdd9113cb5436f974acd9919a653e552e531feR195,64f29ca93f76aaccf9797eef4cb616057577b6e5
Refactoring to name a function parameter,https://github.com/kean/Nuke/commit/599707eecb01e618f8aa9c79a6e44633ea9247d2#diff-2c80cd1b4dd9365d1793c965fb5e1a92f99b99fb09c00bcadeb7d698d690cc69R246,599707eecb01e618f8aa9c79a6e44633ea9247d2
Refactoring to a protocol extension,https://github.com/kean/Nuke/commit/3c2525576c4eb8738078816ce53daa438781979f#diff-68ef9e373e5eecea03cdec34089d60c621412a2b34b53713bff92b47e3382333R606,3c2525576c4eb8738078816ce53daa438781979f
Refactoring to make parameter name optional in calling,https://github.com/kean/Nuke/commit/3c2525576c4eb8738078816ce53daa438781979f#diff-68ef9e373e5eecea03cdec34089d60c621412a2b34b53713bff92b47e3382333R607,3c2525576c4eb8738078816ce53daa438781979f
Rename protocol refactoring,https://github.com/kean/Nuke/commit/806ed7508d5d68f1bdc8d0ffdeb08fce3863f6e1#diff-a6e98938b815a0930f56cc1e3a854b19c8845951a2d7ebcba06ac3cf26925d76R7,806ed7508d5d68f1bdc8d0ffdeb08fce3863f6e1
Refactoring to make parameter name optional in calling,https://github.com/kean/Nuke/commit/806ed7508d5d68f1bdc8d0ffdeb08fce3863f6e1#diff-d81083d967cd93a3a4f7a958decd0bc1af93361808825ef424597c865b434ccfR428,806ed7508d5d68f1bdc8d0ffdeb08fce3863f6e2
Refactoring to name a function parameter,https://github.com/kean/Nuke/commit/806ed7508d5d68f1bdc8d0ffdeb08fce3863f6e1#diff-d81083d967cd93a3a4f7a958decd0bc1af93361808825ef424597c865b434ccfR457,806ed7508d5d68f1bdc8d0ffdeb08fce3863f6e3
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/kean/Nuke/commit/d0ebe722ce36d024169b11bcb2eaae4effbdb1f9#diff-bdfbf6659b2d4d96679c11a4a4461f5f88927b443fc179515100cee905f0fa98R54,d0ebe722ce36d024169b11bcb2eaae4effbdb1f9
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/kean/Nuke/commit/d0ebe722ce36d024169b11bcb2eaae4effbdb1f9#diff-92daa4a6c90b996fd8a19f3fd0750fe4ea8bc0ed57fcb11f7e636929f1675198R39,d0ebe722ce36d024169b11bcb2eaae4effbdb1f10
Refactoring to delay functionality execution via defer statement,https://github.com/kean/Nuke/commit/e995eb4ae5d3008c73a00dd779600306673cebad#diff-5c980e31a026516dda07cec11949c714a5a8ff8d78e269f0df869d29c63ec203R51,e995eb4ae5d3008c73a00dd779600306673cebad
Refactoring to delay functionality execution via defer statement,https://github.com/kean/Nuke/commit/e995eb4ae5d3008c73a00dd779600306673cebad#diff-5c980e31a026516dda07cec11949c714a5a8ff8d78e269f0df869d29c63ec203R79,e995eb4ae5d3008c73a00dd779600306673cebad
Refactoring to protocol,https://github.com/kean/Nuke/commit/fa460cf0b3215c8a71d98c586b91e974df47cf67#diff-2268ac88bb11b3acc004ab95e2ad3370e4a97f494ea08eabd75e46ff7a2f4fdeR23,fa460cf0b3215c8a71d98c586b91e974df47cf67
