refactoring type,commit link,commit hash
Refactoring to protocol,https://github.com/realm/realm-swift/commit/bac5bf9239a5a02bcbbb133565ced52d797f3fd3#diff-4d24232efdc20aacbfb52a6a63ccdf5c76d71278d1f5d7c9a69af0b6b7f3d54cR41,bac5bf9239a5a02bcbbb133565ced52d797f3fd3
Refactoring to protocol,https://github.com/realm/realm-swift/commit/47abf6acfde5c4d2b07d54f06a7d3797247ddc86#diff-feaa1aa3b48b17421ba5a63cd668ecec0e5dc49c33a06592a44b4b788bcccae3R48,47abf6acfde5c4d2b07d54f06a7d3797247ddc86
Refactoring to protocol,https://github.com/realm/realm-swift/commit/47abf6acfde5c4d2b07d54f06a7d3797247ddc86#diff-feaa1aa3b48b17421ba5a63cd668ecec0e5dc49c33a06592a44b4b788bcccae3R20, 47abf6acfde5c4d2b07d54f06a7d3797247ddc86
Refactoring to a protocol extension,https://github.com/realm/realm-swift/commit/bac5bf9239a5a02bcbbb133565ced52d797f3fd3#diff-4d24232efdc20aacbfb52a6a63ccdf5c76d71278d1f5d7c9a69af0b6b7f3d54cR42,bac5bf9239a5a02bcbbb133565ced52d797f3fd3
Refactoring to a protocol extension,https://github.com/realm/realm-swift/commit/c03ad4a54b7b72f583c46f0ec6287caead2f3b03#diff-d592875997ea8a05a35a8a70348cc12dd15d4bce5af80b06b146f7b4a1690ffcR263,c03ad4a54b7b72f583c46f0ec6287caead2f3b03
Refactoring to a class/struct extension,https://github.com/realm/realm-swift/commit/bac5bf9239a5a02bcbbb133565ced52d797f3fd3#diff-d592875997ea8a05a35a8a70348cc12dd15d4bce5af80b06b146f7b4a1690ffcR113,bac5bf9239a5a02bcbbb133565ced52d797f3fd3
Refactoring to a class/struct extension,https://github.com/realm/realm-swift/commit/bac5bf9239a5a02bcbbb133565ced52d797f3fd3#diff-384a5ca03ffc11b10a067f3f5bedba2ba3bfaea4fde0d170060d9760528701a8R80,bac5bf9239a5a02bcbbb133565ced52d797f3fd3
Refactoring to make parameter name optional in calling,https://github.com/realm/realm-swift/commit/c03ad4a54b7b72f583c46f0ec6287caead2f3b03#diff-384a5ca03ffc11b10a067f3f5bedba2ba3bfaea4fde0d170060d9760528701a8R115,c03ad4a54b7b72f583c46f0ec6287caead2f3b03
Refactoring to make parameter name optional in calling,https://github.com/realm/realm-swift/commit/3081ab8ff7c3ec570d0eb030daad74d15139cd68#diff-feaa1aa3b48b17421ba5a63cd668ecec0e5dc49c33a06592a44b4b788bcccae3R34,3081ab8ff7c3ec570d0eb030daad74d15139cd68
Refactoring to make parameter name optional in calling,https://github.com/realm/realm-swift/commit/3081ab8ff7c3ec570d0eb030daad74d15139cd68#diff-feaa1aa3b48b17421ba5a63cd668ecec0e5dc49c33a06592a44b4b788bcccae3R67,3081ab8ff7c3ec570d0eb030daad74d15139cd68
Refactoring to name a function parameter,https://github.com/realm/realm-swift/commit/47abf6acfde5c4d2b07d54f06a7d3797247ddc86#diff-feaa1aa3b48b17421ba5a63cd668ecec0e5dc49c33a06592a44b4b788bcccae3R36,47abf6acfde5c4d2b07d54f06a7d3797247ddc86
Refactoring to name a function parameter,https://github.com/realm/realm-swift/commit/be150d1dc1ccdf8b028f8179141a644a03933947#diff-039908d82c19128ab8f7b95d484c96833d8e172cc570a5060272cf2544b86898R37,be150d1dc1ccdf8b028f8179141a644a03933947
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/realm/realm-swift/commit/e0d0f3ab08c77b2bea9cb302e262254cc5625ab6#diff-d592875997ea8a05a35a8a70348cc12dd15d4bce5af80b06b146f7b4a1690ffcR68,e0d0f3ab08c77b2bea9cb302e262254cc5625ab6
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/realm/realm-swift/commit/be150d1dc1ccdf8b028f8179141a644a03933947#diff-039908d82c19128ab8f7b95d484c96833d8e172cc570a5060272cf2544b86898R48,be150d1dc1ccdf8b028f8179141a644a03933947
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/realm/realm-swift/commit/023f713095c1d17e2efe14d8d1b69630ece61f99#diff-03819a450d105fabddc7946fb70c3dab40dcfa2b071dd09755392432c1b6af02R158,023f713095c1d17e2efe14d8d1b69630ece61f99
Refactoring to enum cases with parameters,https://github.com/realm/realm-swift/commit/023f713095c1d17e2efe14d8d1b69630ece61f99#diff-03819a450d105fabddc7946fb70c3dab40dcfa2b071dd09755392432c1b6af02R52,023f713095c1d17e2efe14d8d1b69630ece61f99
Refactoring to enum extension,https://github.com/realm/realm-swift/commit/47abf6acfde5c4d2b07d54f06a7d3797247ddc86#diff-384a5ca03ffc11b10a067f3f5bedba2ba3bfaea4fde0d170060d9760528701a8R106,47abf6acfde5c4d2b07d54f06a7d3797247ddc86
