refactoring type,commit link,commit hash
Refactoring to enum cases with parameters,https://github.com/stephencelis/SQLite.swift/commit/026c5c264f925c0796d1cb72ee4927019c1dec4e#diff-5b64e192d1433bfbd354d6c22068110927c8f14bf4a26bfbf2aa71fac42090c6R43,026c5c264f925c0796d1cb72ee4927019c1dec4e
Refactoring to enum cases with parameters,https://github.com/stephencelis/SQLite.swift/commit/dc1b643b509605e90a37ebf687d3905fd06b026b#diff-8bc55484fd65392eb1a9f0523af13e24d3819cf1c24069454b1665cf4ebf325cR7,dc1b643b509605e90a37ebf687d3905fd06b026b
Refactoring to make parameter name optional in calling,https://github.com/stephencelis/SQLite.swift/commit/8f9b8a855f9d473c8389d2927b4321217e5622cc#diff-5fba3cae8a56d648a38eaed7fe941ad761e15cf04d1978121a6184b70ac77e34R42,8f9b8a855f9d473c8389d2927b4321217e5622cc
Refactoring to make parameter name optional in calling,https://github.com/stephencelis/SQLite.swift/commit/8f9b8a855f9d473c8389d2927b4321217e5622cc#diff-20e781e0327edf0efe0d26ba74d983787bf862a2249e44fe356de946cba2aa83R27,8f9b8a855f9d473c8389d2927b4321217e5622cc
Refactoring to make parameter name optional in calling,https://github.com/stephencelis/SQLite.swift/commit/8f9b8a855f9d473c8389d2927b4321217e5622cc#diff-20e781e0327edf0efe0d26ba74d983787bf862a2249e44fe356de946cba2aa83R174,8f9b8a855f9d473c8389d2927b4321217e5622cc
Refactoring to enum extension,https://github.com/stephencelis/SQLite.swift/commit/723cdc8456cc87ce5dadbc6a25b3f4bbf46275c9#diff-6447f1ec80fdc79d4d7d58ac925e8d055e3f381af263453787c39e706c8abfbaR33,723cdc8456cc87ce5dadbc6a25b3f4bbf46275c9
Refactoring to a class/struct extension,https://github.com/stephencelis/SQLite.swift/commit/2fc0decf41a26787c4d3b2b23ef07786b44f801b#diff-c8af7339dc7e4242f67b3b127accad7ae82c875cc7f150750db5af2b0149810cR15,2fc0decf41a26787c4d3b2b23ef07786b44f801b
Refactoring to a class/struct extension,https://github.com/stephencelis/SQLite.swift/commit/5a9b583d2a28d12bc8523b204e75a0da6c8b04ff#diff-512b841313be999788c91e9ee18e5fc4c62c4581ccfe6d950dc48290841bdfb8R221,5a9b583d2a28d12bc8523b204e75a0da6c8b04ff
Refactoring to protocol,https://github.com/stephencelis/SQLite.swift/commit/5a9b583d2a28d12bc8523b204e75a0da6c8b04ff#diff-512b841313be999788c91e9ee18e5fc4c62c4581ccfe6d950dc48290841bdfb8R203,5a9b583d2a28d12bc8523b204e75a0da6c8b04ff
Refactoring to protocol,https://github.com/stephencelis/SQLite.swift/commit/db6d6621b4e1d67af1346311fbd215568b312a4a#diff-f8075cf82223f841a6864a6aecdc122c3a83f0d76e5bca0815317edc2fd230ceR40,db6d6621b4e1d67af1346311fbd215568b312a4a
Refactoring to a protocol extension,https://github.com/stephencelis/SQLite.swift/commit/5a9b583d2a28d12bc8523b204e75a0da6c8b04ff#diff-512b841313be999788c91e9ee18e5fc4c62c4581ccfe6d950dc48290841bdfb8R207,5a9b583d2a28d12bc8523b204e75a0da6c8b04ff
