refactoring type,commit link,commit hash
Refactoring to enum extension,https://github.com/SwiftGen/SwiftGen/commit/841b03fe40e126ad43a0fe5aeffd109c3cc777b7#diff-f29efffc578226ceb3a8418d42682ff46b71e9e77a083311f600d7dbe5015d40R10,841b03fe40e126ad43a0fe5aeffd109c3cc777b7
Refactoring to make parameter name optional in calling,https://github.com/SwiftGen/SwiftGen/commit/a33fb153476cc5cf23f365b3843dd639bdf39828#diff-b2767f6d34d1771a622f3466528aaefc5d8b261d5721ea88caef3e46c1702ce8R44,a33fb153476cc5cf23f365b3843dd639bdf39828
Refactoring to a class/struct extension,https://github.com/SwiftGen/SwiftGen/commit/a33fb153476cc5cf23f365b3843dd639bdf39828#diff-1797156a250b4cbf1dc33ee0f0b47931de991316f02024de7761e1f71584ee4bR127,a33fb153476cc5cf23f365b3843dd639bdf39828
Refactoring to enum cases with parameters,https://github.com/SwiftGen/SwiftGen/commit/bb744a11aa5ec604c45baa96fa04622451b4f13d#diff-fd6597ddc059516baefd40215d6f3f426e2de98c5662e4e3a9f8ff6df9cfbeefR10,bb744a11aa5ec604c45baa96fa04622451b4f13d
Refactoring to enum cases with parameters,https://github.com/SwiftGen/SwiftGen/commit/9d5a5d42401d1812b6a4a4dca562866581e0eace#diff-0cb3780d125872e1875e4e3614a08c1c71570bddd76d578dadeaeb11c49963efR12,9d5a5d42401d1812b6a4a4dca562866581e0eace
Refactoring to enum cases with parameters,https://github.com/SwiftGen/SwiftGen/commit/9d5a5d42401d1812b6a4a4dca562866581e0eace#diff-0cb3780d125872e1875e4e3614a08c1c71570bddd76d578dadeaeb11c49963efR20,9d5a5d42401d1812b6a4a4dca562866581e0eace
Refactoring to a protocol extension,https://github.com/SwiftGen/SwiftGen/commit/78abc1ec585dbe67e956e72931b05f0f257afc4e#diff-b524802227a1d5fce1fd8165f6eea02ab0ad9bb4ef7db3dde1d5783b8afa666eR27,78abc1ec585dbe67e956e72931b05f0f257afc4e
Refactoring to protocol,https://github.com/SwiftGen/SwiftGen/commit/7d7caab1f838f22081e95bf5738a5fafe54b761e#diff-b524802227a1d5fce1fd8165f6eea02ab0ad9bb4ef7db3dde1d5783b8afa666eR17,7d7caab1f838f22081e95bf5738a5fafe54b761e
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/SwiftGen/SwiftGen/commit/0bafdea730c37ffe3ccde103b73d341b6983b137#diff-ddee1af766e721fdf4b236a1e1105cd7d0c3fd27f0f9f081f6aabbfad7a86a76R61,0bafdea730c37ffe3ccde103b73d341b6983b137
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/SwiftGen/SwiftGen/commit/0bafdea730c37ffe3ccde103b73d341b6983b137#diff-f18a927ff43564bde58eeed430976ccef54bc95c09b5b4f2f3e77297263d64caR76,0bafdea730c37ffe3ccde103b73d341b6983b137
Refactoring to name a function parameter,https://github.com/SwiftGen/SwiftGen/commit/dcf5aa8ab6c15da0b649e930976d435ba9bfc95d#diff-59d2c9258ab7371a4d9a359ee08188e066f3ccb78a7f833b021113f6fa5f49c2R32,dcf5aa8ab6c15da0b649e930976d435ba9bfc95d
Refactoring to name a function parameter,https://github.com/SwiftGen/SwiftGen/commit/dcf5aa8ab6c15da0b649e930976d435ba9bfc95d#diff-7e96cd2a51a2fcdc429a7adcd14e85b4e948ad4fcc63c1423f0ae55214107100R22,dcf5aa8ab6c15da0b649e930976d435ba9bfc95d
Refactoring to name a function parameter,https://github.com/SwiftGen/SwiftGen/commit/dcf5aa8ab6c15da0b649e930976d435ba9bfc95d#diff-b04085c2c1105409b56ef14c1f69845cf749fc522ce53a5950312e92b78f9e75R42,dcf5aa8ab6c15da0b649e930976d435ba9bfc95d
