refactoring type,commit link,commit hash
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/iina/iina/commit/e4409f7e64a3684e343733a969ee814ed6f04f09#diff-d8495cf789f71c1eb7c32ac3953130f77fe088e144509782e2a6637b52a21c1fR52,e4409f7e64a3684e343733a969ee814ed6f04f09
Refactoring to make parameter name optional in calling,https://github.com/iina/iina/commit/ef7fc5770b97ed3a91402d6a1cd03e7e7492ce33#diff-94037df72d86358d47fb54cfaffe13b613de100a0572e9128c1b5dad3884b13bR16,ef7fc5770b97ed3a91402d6a1cd03e7e7492ce33
Refactoring to make parameter name optional in calling,https://github.com/iina/iina/commit/5ce536406282291bf49742dafd11c0975895a437#diff-a7e8c4b028fa17341098cf792589f57d70918c33e8b7d6e1971d3aa02200afabR72,5ce536406282291bf49742dafd11c0975895a437
Refactoring to enum cases with parameters,https://github.com/iina/iina/commit/5c17f13bc199be7ba0096d4e460b81ff715bbf78#diff-64122a136dd31b7e0a0754fe363efeab438dd7182c5e6b8983c2c53a2eb172bcR13,5c17f13bc199be7ba0096d4e460b81ff715bbf78
Refactoring to make parameter name optional in calling,https://github.com/iina/iina/commit/5c17f13bc199be7ba0096d4e460b81ff715bbf78#diff-5e9912b55392d8c0ae5384cd5f4269a1d125593905e648129a9b93f3fb79411fR13,5c17f13bc199be7ba0096d4e460b81ff715bbf78
Refactoring to enum cases with parameters,https://github.com/iina/iina/commit/072b54421c7e30ff3f4cf7250fe17c200d8744e5#diff-c306e8fb4c230821d20bb144ab6fbc274f7934b904d50849f6a58d43c00d4725R15,072b54421c7e30ff3f4cf7250fe17c200d8744e5
Refactoring to enum cases with parameters,https://github.com/iina/iina/commit/683739878672ebfc880bc02731ba7e5d5e39ef3a#diff-36469850cf3861c3af2321f4b18d2421ee1d2d99ac2bf1d81cafbcd6f477f79cR38,683739878672ebfc880bc02731ba7e5d5e39ef3a
Refactoring to a class/struct extension,https://github.com/iina/iina/commit/bb8f0398d00e95662fb0080b9db420dbe4cf08d9#diff-74b22840a3c9659b45769e7ba2ea838617b1de940dd93b938cecde8d0b4ad0faR37,bb8f0398d00e95662fb0080b9db420dbe4cf08d9
Refactoring to a class/struct extension,https://github.com/iina/iina/commit/b454fac8fcf7a7929f95261cac888507a2641f88#diff-e7ea4a215d5f58d1730fabe4bb8cf957dfe6d8717f30a9297c344b158b7ee2e5R11,b454fac8fcf7a7929f95261cac888507a2641f88
Refactoring to safely unwrap the optionals via guard or if let statements,https://github.com/iina/iina/commit/bb8f0398d00e95662fb0080b9db420dbe4cf08d9#diff-b8312c82bcc6d0df5f9959c5c375f7c74d2e7acaee358d60841f2c39ad2008a5R870,bb8f0398d00e95662fb0080b9db420dbe4cf08d9
Refactoring to protocol,https://github.com/iina/iina/commit/f7ea8fe8c8754b856706e74bd676388dab2b71ba#diff-a4624a79e3760c60ebfcf86e6c6f25a4fcf3debff43917535d66074ecc3f1b82R12,f7ea8fe8c8754b856706e74bd676388dab2b71ba
Refactoring to protocol,https://github.com/iina/iina/commit/f7ea8fe8c8754b856706e74bd676388dab2b71ba#diff-04de03e14f0a541210c1f51e5c555ac21d3ae6cba9230adbe6ddd2c35c2b2284R12,f7ea8fe8c8754b856706e74bd676388dab2b71ba
Refactoring to name a function parameter,https://github.com/iina/iina/commit/f7ea8fe8c8754b856706e74bd676388dab2b71ba#diff-9ef9e6c8c0745326e79126e713a16f435980f637ef5816727f3679e27d3afd60R166,f7ea8fe8c8754b856706e74bd676388dab2b71ba
Refactoring to name a function parameter,https://github.com/iina/iina/commit/683739878672ebfc880bc02731ba7e5d5e39ef3a#diff-36469850cf3861c3af2321f4b18d2421ee1d2d99ac2bf1d81cafbcd6f477f79cR136,683739878672ebfc880bc02731ba7e5d5e39ef3a
Refactoring to name a function parameter,https://github.com/iina/iina/commit/5ce536406282291bf49742dafd11c0975895a437#diff-fdcd9c5fbd0501f07193631f182d8b3c6f3a30d6ed43bb2b5e7018ccf36f3326R38,5ce536406282291bf49742dafd11c0975895a437
Refactoring to delay functionality execution via defer statement,https://github.com/iina/iina/commit/16acefc47e84c31dc02157deb934dfe20491c262#diff-635e7751f67bcf1e2fe7a572518b5b0d0c9f4cdca31e4434c353c2c393e178f8R69,16acefc47e84c31dc02157deb934dfe20491c262
Refactoring to delay functionality execution via defer statement,https://github.com/iina/iina/commit/16acefc47e84c31dc02157deb934dfe20491c262#diff-635e7751f67bcf1e2fe7a572518b5b0d0c9f4cdca31e4434c353c2c393e178f8R80,16acefc47e84c31dc02157deb934dfe20491c262
, ,
