Refactoring,Repositories,,,,,,,,,
,Alamofire/Alamofire,onevcat/Kingfisher,kean/Nuke,airbnb/lottie-ios,ChartsOrg/Charts,realm/realm-swift,stephencelis/SQLite.swift,SwiftGen/SwiftGen,bluejay,iina/iina
,Count of detected instances,,,,,,,,,
Refactoring to protocol,5,2,1,3,1,3,2,1,2,2
Refactoring to a protocol extension,1,1,2,1,1,2,1,1,1,-
Refactoring to a class/struct extension,2,1,1,2,2,2,2,1,1,2
Refactoring to enum cases with parameters,3,3,2,1,-,1,2,3,3,3
Refactoring to enum extension,1,-,3,1,-,1,1,1,1,-
Rename protocol refactoring,1,-,1,-,4,-,-,-,2,-
Refactoring to safely unwrap the optionals via guard or if let statements,5,3,2,1,3,3,-,2,3,2
Refactoring to delay functionality execution via defer statement,3,1,4,-,-,-,-,-,1,2
Refactoring to name a function parameter,2,2,2,1,2,2,-,3,1,3
Refactoring to make parameter name optional in calling,3,1,3,1,4,3,3,1,1,3
